Variation #,Input,Mat1,Mat2
0,Tensor<[128]> input = ?,"Tensor<[1, 784]> mat1 = ?","Tensor<[784, 128]> mat2 = ?"
1,Tensor<[64]> input = ?,"Tensor<[1, 128]> mat1 = ?","Tensor<[128, 64]> mat2 = ?"
2,Tensor<[12]> input = ?,"Tensor<[1, 64]> mat1 = ?","Tensor<[64, 12]> mat2 = ?"
3,Tensor<[3]> input = ?,"Tensor<[1, 12]> mat1 = ?","Tensor<[12, 3]> mat2 = ?"
4,Tensor<[12]> input = ?,"Tensor<[1, 3]> mat1 = ?","Tensor<[3, 12]> mat2 = ?"
5,Tensor<[64]> input = ?,"Tensor<[1, 12]> mat1 = ?","Tensor<[12, 64]> mat2 = ?"
6,Tensor<[128]> input = ?,"Tensor<[1, 64]> mat1 = ?","Tensor<[64, 128]> mat2 = ?"
7,Tensor<[784]> input = ?,"Tensor<[1, 128]> mat1 = ?","Tensor<[128, 784]> mat2 = ?"
8,Tensor<[1024]> input = ?,"Tensor<[256, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
9,Tensor<[4096]> input = ?,"Tensor<[256, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
10,Tensor<[1024]> input = ?,"Tensor<[256, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
11,Tensor<[2]> input = ?,"Tensor<[256, 1024]> mat1 = ?","Tensor<[1024, 2]> mat2 = ?"
12,Tensor<[4608]> input = ?,"Tensor<[32, 1536]> mat1 = ?","Tensor<[1536, 4608]> mat2 = ?"
13,Tensor<[1536]> input = ?,"Tensor<[32, 1536]> mat1 = ?","Tensor<[1536, 1536]> mat2 = ?"
14,Tensor<[6144]> input = ?,"Tensor<[32, 1536]> mat1 = ?","Tensor<[1536, 6144]> mat2 = ?"
15,Tensor<[1536]> input = ?,"Tensor<[32, 6144]> mat1 = ?","Tensor<[6144, 1536]> mat2 = ?"
16,Tensor<[768]> input = ?,"Tensor<[50, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
17,Tensor<[3072]> input = ?,"Tensor<[50, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
18,Tensor<[768]> input = ?,"Tensor<[50, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
19,Tensor<[512]> input = ?,"Tensor<[14, 512]> mat1 = ?","Tensor<[512, 512]> mat2 = ?"
20,Tensor<[2048]> input = ?,"Tensor<[14, 512]> mat1 = ?","Tensor<[512, 2048]> mat2 = ?"
21,Tensor<[512]> input = ?,"Tensor<[14, 2048]> mat1 = ?","Tensor<[2048, 512]> mat2 = ?"
22,Tensor<[256]> input = ?,"Tensor<[920, 256]> mat1 = ?","Tensor<[256, 256]> mat2 = ?"
23,Tensor<[2048]> input = ?,"Tensor<[920, 256]> mat1 = ?","Tensor<[256, 2048]> mat2 = ?"
24,Tensor<[256]> input = ?,"Tensor<[920, 2048]> mat1 = ?","Tensor<[2048, 256]> mat2 = ?"
25,Tensor<[256]> input = ?,"Tensor<[100, 256]> mat1 = ?","Tensor<[256, 256]> mat2 = ?"
26,Tensor<[2048]> input = ?,"Tensor<[100, 256]> mat1 = ?","Tensor<[256, 2048]> mat2 = ?"
27,Tensor<[256]> input = ?,"Tensor<[100, 2048]> mat1 = ?","Tensor<[2048, 256]> mat2 = ?"
28,Tensor<[92]> input = ?,"Tensor<[600, 256]> mat1 = ?","Tensor<[256, 92]> mat2 = ?"
29,Tensor<[256]> input = ?,"Tensor<[600, 256]> mat1 = ?","Tensor<[256, 256]> mat2 = ?"
30,Tensor<[4]> input = ?,"Tensor<[600, 256]> mat1 = ?","Tensor<[256, 4]> mat2 = ?"
31,Tensor<[768]> input = ?,"Tensor<[25, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
32,Tensor<[3072]> input = ?,"Tensor<[25, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
33,Tensor<[768]> input = ?,"Tensor<[25, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
34,Tensor<[2]> input = ?,"Tensor<[25, 768]> mat1 = ?","Tensor<[768, 2]> mat2 = ?"
35,Tensor<[1]> input = ?,"Tensor<[1, 768]> mat1 = ?","Tensor<[768, 1]> mat2 = ?"
36,Tensor<[64]> input = ?,"Tensor<[19200, 64]> mat1 = ?","Tensor<[64, 64]> mat2 = ?"
37,Tensor<[64]> input = ?,"Tensor<[300, 64]> mat1 = ?","Tensor<[64, 64]> mat2 = ?"
38,Tensor<[256]> input = ?,"Tensor<[19200, 64]> mat1 = ?","Tensor<[64, 256]> mat2 = ?"
39,Tensor<[64]> input = ?,"Tensor<[19200, 256]> mat1 = ?","Tensor<[256, 64]> mat2 = ?"
40,Tensor<[128]> input = ?,"Tensor<[4800, 128]> mat1 = ?","Tensor<[128, 128]> mat2 = ?"
41,Tensor<[128]> input = ?,"Tensor<[300, 128]> mat1 = ?","Tensor<[128, 128]> mat2 = ?"
42,Tensor<[512]> input = ?,"Tensor<[4800, 128]> mat1 = ?","Tensor<[128, 512]> mat2 = ?"
43,Tensor<[128]> input = ?,"Tensor<[4800, 512]> mat1 = ?","Tensor<[512, 128]> mat2 = ?"
44,Tensor<[320]> input = ?,"Tensor<[1200, 320]> mat1 = ?","Tensor<[320, 320]> mat2 = ?"
45,Tensor<[320]> input = ?,"Tensor<[300, 320]> mat1 = ?","Tensor<[320, 320]> mat2 = ?"
46,Tensor<[1280]> input = ?,"Tensor<[1200, 320]> mat1 = ?","Tensor<[320, 1280]> mat2 = ?"
47,Tensor<[320]> input = ?,"Tensor<[1200, 1280]> mat1 = ?","Tensor<[1280, 320]> mat2 = ?"
48,Tensor<[512]> input = ?,"Tensor<[300, 512]> mat1 = ?","Tensor<[512, 512]> mat2 = ?"
49,Tensor<[2048]> input = ?,"Tensor<[300, 512]> mat1 = ?","Tensor<[512, 2048]> mat2 = ?"
50,Tensor<[512]> input = ?,"Tensor<[300, 2048]> mat1 = ?","Tensor<[2048, 512]> mat2 = ?"
51,Tensor<[2304]> input = ?,"Tensor<[7, 768]> mat1 = ?","Tensor<[768, 2304]> mat2 = ?"
52,Tensor<[768]> input = ?,"Tensor<[7, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
53,Tensor<[3072]> input = ?,"Tensor<[7, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
54,Tensor<[768]> input = ?,"Tensor<[7, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
55,Tensor<[768]> input = ?,"Tensor<[45, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
56,Tensor<[3072]> input = ?,"Tensor<[45, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
57,Tensor<[768]> input = ?,"Tensor<[45, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
58,Tensor<[768]> input = ?,"Tensor<[1, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
59,Tensor<[3072]> input = ?,"Tensor<[1, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
60,Tensor<[768]> input = ?,"Tensor<[1, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
61,Tensor<[1000]> input = ?,"Tensor<[1, 1024]> mat1 = ?","Tensor<[1024, 1000]> mat2 = ?"
62,Tensor<[512]> input = ?,"Tensor<[256, 768]> mat1 = ?","Tensor<[768, 512]> mat2 = ?"
63,Tensor<[256]> input = ?,"Tensor<[256, 512]> mat1 = ?","Tensor<[512, 256]> mat2 = ?"
64,Tensor<[512]> input = ?,"Tensor<[256, 256]> mat1 = ?","Tensor<[256, 512]> mat2 = ?"
65,Tensor<[1000]> input = ?,"Tensor<[1, 512]> mat1 = ?","Tensor<[512, 1000]> mat2 = ?"
66,Tensor<[128]> input = ?,"Tensor<[1, 9216]> mat1 = ?","Tensor<[9216, 128]> mat2 = ?"
67,Tensor<[10]> input = ?,"Tensor<[1, 128]> mat1 = ?","Tensor<[128, 10]> mat2 = ?"
68,Tensor<[1024]> input = ?,"Tensor<[59, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
69,Tensor<[4096]> input = ?,"Tensor<[59, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
70,Tensor<[1024]> input = ?,"Tensor<[59, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
71,Tensor<[1024]> input = ?,"Tensor<[1, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
72,Tensor<[4096]> input = ?,"Tensor<[1, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
73,Tensor<[1024]> input = ?,"Tensor<[1, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
74,Tensor<[256]> input = ?,"Tensor<[256, 1280]> mat1 = ?","Tensor<[1280, 256]> mat2 = ?"
75,Tensor<[256]> input = ?,"Tensor<[2048, 768]> mat1 = ?","Tensor<[768, 256]> mat2 = ?"
76,Tensor<[1280]> input = ?,"Tensor<[2048, 768]> mat1 = ?","Tensor<[768, 1280]> mat2 = ?"
77,Tensor<[1280]> input = ?,"Tensor<[256, 1280]> mat1 = ?","Tensor<[1280, 1280]> mat2 = ?"
78,Tensor<[768]> input = ?,"Tensor<[256, 1280]> mat1 = ?","Tensor<[1280, 768]> mat2 = ?"
79,Tensor<[768]> input = ?,"Tensor<[2048, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
80,Tensor<[1000]> input = ?,"Tensor<[1, 2048]> mat1 = ?","Tensor<[2048, 1000]> mat2 = ?"
81,Tensor<[768]> input = ?,"Tensor<[10, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
82,Tensor<[3072]> input = ?,"Tensor<[10, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
83,Tensor<[768]> input = ?,"Tensor<[10, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
84,Tensor<[250002]> input = ?,"Tensor<[10, 768]> mat1 = ?","Tensor<[768, 250002]> mat2 = ?"
85,Tensor<[32]> input = ?,"Tensor<[16384, 32]> mat1 = ?","Tensor<[32, 32]> mat2 = ?"
86,Tensor<[32]> input = ?,"Tensor<[256, 32]> mat1 = ?","Tensor<[32, 32]> mat2 = ?"
87,Tensor<[128]> input = ?,"Tensor<[16384, 32]> mat1 = ?","Tensor<[32, 128]> mat2 = ?"
88,Tensor<[32]> input = ?,"Tensor<[16384, 128]> mat1 = ?","Tensor<[128, 32]> mat2 = ?"
89,Tensor<[64]> input = ?,"Tensor<[4096, 64]> mat1 = ?","Tensor<[64, 64]> mat2 = ?"
90,Tensor<[64]> input = ?,"Tensor<[256, 64]> mat1 = ?","Tensor<[64, 64]> mat2 = ?"
91,Tensor<[256]> input = ?,"Tensor<[4096, 64]> mat1 = ?","Tensor<[64, 256]> mat2 = ?"
92,Tensor<[64]> input = ?,"Tensor<[4096, 256]> mat1 = ?","Tensor<[256, 64]> mat2 = ?"
93,Tensor<[160]> input = ?,"Tensor<[1024, 160]> mat1 = ?","Tensor<[160, 160]> mat2 = ?"
94,Tensor<[160]> input = ?,"Tensor<[256, 160]> mat1 = ?","Tensor<[160, 160]> mat2 = ?"
95,Tensor<[640]> input = ?,"Tensor<[1024, 160]> mat1 = ?","Tensor<[160, 640]> mat2 = ?"
96,Tensor<[160]> input = ?,"Tensor<[1024, 640]> mat1 = ?","Tensor<[640, 160]> mat2 = ?"
97,Tensor<[256]> input = ?,"Tensor<[256, 256]> mat1 = ?","Tensor<[256, 256]> mat2 = ?"
98,Tensor<[1024]> input = ?,"Tensor<[256, 256]> mat1 = ?","Tensor<[256, 1024]> mat2 = ?"
99,Tensor<[256]> input = ?,"Tensor<[256, 1024]> mat1 = ?","Tensor<[1024, 256]> mat2 = ?"
100,Tensor<[1280]> input = ?,"Tensor<[1, 320]> mat1 = ?","Tensor<[320, 1280]> mat2 = ?"
101,Tensor<[1280]> input = ?,"Tensor<[1, 1280]> mat1 = ?","Tensor<[1280, 1280]> mat2 = ?"
102,Tensor<[320]> input = ?,"Tensor<[1, 1280]> mat1 = ?","Tensor<[1280, 320]> mat2 = ?"
103,Tensor<[320]> input = ?,"Tensor<[4096, 320]> mat1 = ?","Tensor<[320, 320]> mat2 = ?"
104,Tensor<[2560]> input = ?,"Tensor<[4096, 320]> mat1 = ?","Tensor<[320, 2560]> mat2 = ?"
105,Tensor<[320]> input = ?,"Tensor<[4096, 1280]> mat1 = ?","Tensor<[1280, 320]> mat2 = ?"
106,Tensor<[640]> input = ?,"Tensor<[1, 1280]> mat1 = ?","Tensor<[1280, 640]> mat2 = ?"
107,Tensor<[640]> input = ?,"Tensor<[1024, 640]> mat1 = ?","Tensor<[640, 640]> mat2 = ?"
108,Tensor<[5120]> input = ?,"Tensor<[1024, 640]> mat1 = ?","Tensor<[640, 5120]> mat2 = ?"
109,Tensor<[640]> input = ?,"Tensor<[1024, 2560]> mat1 = ?","Tensor<[2560, 640]> mat2 = ?"
110,Tensor<[10240]> input = ?,"Tensor<[256, 1280]> mat1 = ?","Tensor<[1280, 10240]> mat2 = ?"
111,Tensor<[1280]> input = ?,"Tensor<[256, 5120]> mat1 = ?","Tensor<[5120, 1280]> mat2 = ?"
112,Tensor<[1280]> input = ?,"Tensor<[64, 1280]> mat1 = ?","Tensor<[1280, 1280]> mat2 = ?"
113,Tensor<[10240]> input = ?,"Tensor<[64, 1280]> mat1 = ?","Tensor<[1280, 10240]> mat2 = ?"
114,Tensor<[1280]> input = ?,"Tensor<[64, 5120]> mat1 = ?","Tensor<[5120, 1280]> mat2 = ?"
115,Tensor<[768]> input = ?,"Tensor<[201, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
116,Tensor<[3072]> input = ?,"Tensor<[201, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
117,Tensor<[768]> input = ?,"Tensor<[201, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
118,Tensor<[1536]> input = ?,"Tensor<[1, 768]> mat1 = ?","Tensor<[768, 1536]> mat2 = ?"
119,Tensor<[3129]> input = ?,"Tensor<[1, 1536]> mat1 = ?","Tensor<[1536, 3129]> mat2 = ?"
120,Tensor<[768]> input = ?,"Tensor<[1500, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
121,Tensor<[3072]> input = ?,"Tensor<[1500, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
122,Tensor<[768]> input = ?,"Tensor<[1500, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
123,Tensor<[768]> input = ?,"Tensor<[4, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
124,Tensor<[3072]> input = ?,"Tensor<[4, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
125,Tensor<[768]> input = ?,"Tensor<[4, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
126,Tensor<[1024]> input = ?,"Tensor<[19, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
127,Tensor<[4096]> input = ?,"Tensor<[19, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
128,Tensor<[1024]> input = ?,"Tensor<[19, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
129,Tensor<[192]> input = ?,"Tensor<[1445, 192]> mat1 = ?","Tensor<[192, 192]> mat2 = ?"
130,Tensor<[768]> input = ?,"Tensor<[1445, 192]> mat1 = ?","Tensor<[192, 768]> mat2 = ?"
131,Tensor<[192]> input = ?,"Tensor<[1445, 768]> mat1 = ?","Tensor<[768, 192]> mat2 = ?"
132,Tensor<[192]> input = ?,"Tensor<[100, 192]> mat1 = ?","Tensor<[192, 192]> mat2 = ?"
133,Tensor<[92]> input = ?,"Tensor<[100, 192]> mat1 = ?","Tensor<[192, 92]> mat2 = ?"
134,Tensor<[4]> input = ?,"Tensor<[100, 192]> mat1 = ?","Tensor<[192, 4]> mat2 = ?"
135,Tensor<[768]> input = ?,"Tensor<[12, 128]> mat1 = ?","Tensor<[128, 768]> mat2 = ?"
136,Tensor<[768]> input = ?,"Tensor<[12, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
137,Tensor<[3072]> input = ?,"Tensor<[12, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
138,Tensor<[768]> input = ?,"Tensor<[12, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
139,Tensor<[2]> input = ?,"Tensor<[12, 768]> mat1 = ?","Tensor<[768, 2]> mat2 = ?"
140,Tensor<[1024]> input = ?,"Tensor<[9, 128]> mat1 = ?","Tensor<[128, 1024]> mat2 = ?"
141,Tensor<[1024]> input = ?,"Tensor<[9, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
142,Tensor<[4096]> input = ?,"Tensor<[9, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
143,Tensor<[1024]> input = ?,"Tensor<[9, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
144,Tensor<[128]> input = ?,"Tensor<[9, 1024]> mat1 = ?","Tensor<[1024, 128]> mat2 = ?"
145,Tensor<[30000]> input = ?,"Tensor<[9, 128]> mat1 = ?","Tensor<[128, 30000]> mat2 = ?"
146,Tensor<[2048]> input = ?,"Tensor<[9, 128]> mat1 = ?","Tensor<[128, 2048]> mat2 = ?"
