Variation #,Input,Dim,Keepdim
0,"Tensor<[1, 15, 512]> input = ?",Optional[List[int]] dim = [-1],bool keepdim = True
1,"Tensor<[1, 1, 512]> input = ?",Optional[List[int]] dim = [-1],bool keepdim = True
2,"Tensor<[1, 1024, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
3,"Tensor<[1, 256, 512]> input = ?",Optional[List[int]] dim = [1],
4,"Tensor<[1, 72, 40, 40]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
5,"Tensor<[1, 120, 40, 40]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
6,"Tensor<[1, 480, 20, 20]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
7,"Tensor<[1, 672, 20, 20]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
8,"Tensor<[1, 672, 10, 10]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
9,"Tensor<[1, 480, 10, 10]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
10,"Tensor<[1, 512, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
11,"Tensor<[1, 2048, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
12,"Tensor<[1, 2208, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
13,"Tensor<[1, 1664, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
14,"Tensor<[1, 1920, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
15,"Tensor<[1, 256, 56, 56]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
16,"Tensor<[1, 512, 28, 28]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
17,"Tensor<[1, 768, 14, 14]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
18,"Tensor<[1, 1024, 7, 7]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
19,"Tensor<[1, 72, 28, 28]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
20,"Tensor<[1, 120, 28, 28]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
21,"Tensor<[1, 480, 14, 14]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
22,"Tensor<[1, 672, 14, 14]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
23,"Tensor<[1, 672, 7, 7]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
24,"Tensor<[1, 960, 7, 7]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
25,"Tensor<[1, 960, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
26,"Tensor<[1, 1536, 8, 8]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
27,"Tensor<[1, 196, 768]> input = ?",Optional[List[int]] dim = [1],
28,"Tensor<[1, 196, 1024]> input = ?",Optional[List[int]] dim = [1],
29,"Tensor<[1, 1280, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
30,"Tensor<[1, 72, 28, 28]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
31,"Tensor<[1, 120, 28, 28]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
32,"Tensor<[1, 480, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
33,"Tensor<[1, 672, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
34,"Tensor<[1, 672, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
35,"Tensor<[1, 16, 56, 56]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
36,"Tensor<[1, 96, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
37,"Tensor<[1, 240, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
38,"Tensor<[1, 120, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
39,"Tensor<[1, 144, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
40,"Tensor<[1, 288, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
41,"Tensor<[1, 576, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
42,"Tensor<[1, 912, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
43,"Tensor<[1, 2520, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
44,"Tensor<[1, 1008, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
45,"Tensor<[1, 400, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
46,"Tensor<[1, 528, 96, 96]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
47,"Tensor<[1, 1056, 48, 48]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
48,"Tensor<[1, 2904, 24, 24]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
49,"Tensor<[1, 7392, 12, 12]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
50,"Tensor<[1, 224, 56, 56]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
51,"Tensor<[1, 448, 28, 28]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
52,"Tensor<[1, 1232, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
53,"Tensor<[1, 3024, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
54,"Tensor<[1, 48, 56, 56]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
55,"Tensor<[1, 336, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
56,"Tensor<[1, 888, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
57,"Tensor<[1, 232, 56, 56]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
58,"Tensor<[1, 696, 28, 28]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
59,"Tensor<[1, 1392, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
60,"Tensor<[1, 3712, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
61,"Tensor<[1, 72, 56, 56]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
62,"Tensor<[1, 216, 28, 28]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
63,"Tensor<[1, 576, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
64,"Tensor<[1, 1512, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
65,"Tensor<[1, 104, 28, 28]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
66,"Tensor<[1, 208, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
67,"Tensor<[1, 440, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
68,"Tensor<[1, 64, 56, 56]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
69,"Tensor<[1, 144, 28, 28]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
70,"Tensor<[1, 320, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
71,"Tensor<[1, 784, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
72,"Tensor<[1, 896, 14, 14]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
73,"Tensor<[1, 2016, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
74,"Tensor<[1, 768, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
75,"Tensor<[1, 1024, 8, 8]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
76,"Tensor<[1, 768, 8, 8]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
77,"Tensor<[1, 10, 768]> input = ?",Optional[List[int]] dim = [-1],bool keepdim = True
78,"Tensor<[1, 1, 768]> input = ?",Optional[List[int]] dim = [-1],bool keepdim = True
79,"Tensor<[1, 10, 1024]> input = ?",Optional[List[int]] dim = [-1],bool keepdim = True
80,"Tensor<[1, 1, 1024]> input = ?",Optional[List[int]] dim = [-1],bool keepdim = True
81,"Tensor<[1, 10, 512]> input = ?",Optional[List[int]] dim = [-1],bool keepdim = True
82,"Tensor<[1, 1280, 8, 8]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
83,"Tensor<[1, 1280, 9, 9]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
84,"Tensor<[1, 1280, 10, 10]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
85,"Tensor<[1, 1280, 12, 12]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
86,"Tensor<[1, 2048, 10, 10]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
