Variation #,Input,Mat2
0,"Tensor<[32, 1536]> input = ?","Tensor<[1536, 250880]> mat2 = ?"
1,"Tensor<[1, 768]> input = ?","Tensor<[768, 512]> mat2 = ?"
2,"Tensor<[2, 512]> input = ?","Tensor<[512, 512]> mat2 = ?"
3,"Tensor<[2, 512]> input = ?","Tensor<[512, 1]> mat2 = ?"
4,"Tensor<[920, 256]> input = ?","Tensor<[256, 256]> mat2 = ?"
5,"Tensor<[15, 512]> input = ?","Tensor<[512, 384]> mat2 = ?"
6,"Tensor<[15, 384]> input = ?","Tensor<[384, 512]> mat2 = ?"
7,"Tensor<[15, 512]> input = ?","Tensor<[512, 1024]> mat2 = ?"
8,"Tensor<[15, 1024]> input = ?","Tensor<[1024, 512]> mat2 = ?"
9,"Tensor<[1, 512]> input = ?","Tensor<[512, 384]> mat2 = ?"
10,"Tensor<[1, 384]> input = ?","Tensor<[384, 512]> mat2 = ?"
11,"Tensor<[1, 512]> input = ?","Tensor<[512, 1024]> mat2 = ?"
12,"Tensor<[1, 1024]> input = ?","Tensor<[1024, 512]> mat2 = ?"
13,"Tensor<[1, 512]> input = ?","Tensor<[512, 32128]> mat2 = ?"
14,"Tensor<[7, 4544]> input = ?","Tensor<[4544, 4672]> mat2 = ?"
15,"Tensor<[7, 4544]> input = ?","Tensor<[4544, 4544]> mat2 = ?"
16,"Tensor<[7, 4544]> input = ?","Tensor<[4544, 18176]> mat2 = ?"
17,"Tensor<[7, 18176]> input = ?","Tensor<[18176, 4544]> mat2 = ?"
18,"Tensor<[7, 4544]> input = ?","Tensor<[4544, 65024]> mat2 = ?"
19,"Tensor<[7, 768]> input = ?","Tensor<[768, 2]> mat2 = ?"
20,"Tensor<[45, 768]> input = ?","Tensor<[768, 768]> mat2 = ?"
21,"Tensor<[45, 768]> input = ?","Tensor<[768, 50257]> mat2 = ?"
22,"Tensor<[1, 768]> input = ?","Tensor<[768, 768]> mat2 = ?"
23,"Tensor<[1, 768]> input = ?","Tensor<[768, 50257]> mat2 = ?"
24,"Tensor<[1, 10]> input = ?","Tensor<[10, 128]> mat2 = ?"
25,"Tensor<[10, 1]> input = ?","Tensor<[1, 128]> mat2 = ?"
26,"Tensor<[1, 128]> input = ?","Tensor<[128, 9216]> mat2 = ?"
27,"Tensor<[128, 1]> input = ?","Tensor<[1, 9216]> mat2 = ?"
28,"Tensor<[59, 512]> input = ?","Tensor<[512, 1024]> mat2 = ?"
29,"Tensor<[59, 1024]> input = ?","Tensor<[1024, 512]> mat2 = ?"
30,"Tensor<[59, 512]> input = ?","Tensor<[512, 50272]> mat2 = ?"
31,"Tensor<[1, 512]> input = ?","Tensor<[512, 50272]> mat2 = ?"
32,"Tensor<[2048, 768]> input = ?","Tensor<[768, 262]> mat2 = ?"
33,"Tensor<[16384, 32]> input = ?","Tensor<[32, 256]> mat2 = ?"
34,"Tensor<[4096, 64]> input = ?","Tensor<[64, 256]> mat2 = ?"
35,"Tensor<[1024, 160]> input = ?","Tensor<[160, 256]> mat2 = ?"
36,"Tensor<[256, 256]> input = ?","Tensor<[256, 256]> mat2 = ?"
37,"Tensor<[4096, 320]> input = ?","Tensor<[320, 320]> mat2 = ?"
38,"Tensor<[9, 768]> input = ?","Tensor<[768, 320]> mat2 = ?"
39,"Tensor<[1024, 640]> input = ?","Tensor<[640, 640]> mat2 = ?"
40,"Tensor<[9, 768]> input = ?","Tensor<[768, 640]> mat2 = ?"
41,"Tensor<[256, 1280]> input = ?","Tensor<[1280, 1280]> mat2 = ?"
42,"Tensor<[9, 768]> input = ?","Tensor<[768, 1280]> mat2 = ?"
43,"Tensor<[64, 1280]> input = ?","Tensor<[1280, 1280]> mat2 = ?"
44,"Tensor<[1500, 768]> input = ?","Tensor<[768, 768]> mat2 = ?"
45,"Tensor<[1, 768]> input = ?","Tensor<[768, 51865]> mat2 = ?"
46,"Tensor<[4, 768]> input = ?","Tensor<[768, 768]> mat2 = ?"
47,"Tensor<[4, 768]> input = ?","Tensor<[768, 51865]> mat2 = ?"
48,"Tensor<[19, 1024]> input = ?","Tensor<[1024, 256008]> mat2 = ?"
49,"Tensor<[5, 1024]> input = ?","Tensor<[1024, 3072]> mat2 = ?"
50,"Tensor<[5, 1024]> input = ?","Tensor<[1024, 1024]> mat2 = ?"
51,"Tensor<[1, 1024]> input = ?","Tensor<[1024, 3072]> mat2 = ?"
52,"Tensor<[1, 1024]> input = ?","Tensor<[1024, 1024]> mat2 = ?"
53,"Tensor<[197, 768]> input = ?","Tensor<[768, 768]> mat2 = ?"
54,"Tensor<[197, 1024]> input = ?","Tensor<[1024, 1024]> mat2 = ?"
55,"Tensor<[768, 196]> input = ?","Tensor<[196, 384]> mat2 = ?"
56,"Tensor<[784, 512]> input = ?","Tensor<[512, 256]> mat2 = ?"
57,"Tensor<[196, 1024]> input = ?","Tensor<[1024, 512]> mat2 = ?"
58,"Tensor<[49, 2048]> input = ?","Tensor<[2048, 1024]> mat2 = ?"
59,"Tensor<[784, 384]> input = ?","Tensor<[384, 192]> mat2 = ?"
60,"Tensor<[196, 768]> input = ?","Tensor<[768, 384]> mat2 = ?"
61,"Tensor<[49, 1536]> input = ?","Tensor<[1536, 768]> mat2 = ?"
62,"Tensor<[225, 512]> input = ?","Tensor<[512, 4]> mat2 = ?"
63,"Tensor<[1024, 512]> input = ?","Tensor<[512, 256]> mat2 = ?"
64,"Tensor<[225, 512]> input = ?","Tensor<[512, 8]> mat2 = ?"
65,"Tensor<[256, 1024]> input = ?","Tensor<[1024, 512]> mat2 = ?"
66,"Tensor<[225, 512]> input = ?","Tensor<[512, 16]> mat2 = ?"
67,"Tensor<[64, 2048]> input = ?","Tensor<[2048, 1024]> mat2 = ?"
68,"Tensor<[225, 512]> input = ?","Tensor<[512, 32]> mat2 = ?"
69,"Tensor<[225, 512]> input = ?","Tensor<[512, 3]> mat2 = ?"
70,"Tensor<[1024, 384]> input = ?","Tensor<[384, 192]> mat2 = ?"
71,"Tensor<[225, 512]> input = ?","Tensor<[512, 6]> mat2 = ?"
72,"Tensor<[256, 768]> input = ?","Tensor<[768, 384]> mat2 = ?"
73,"Tensor<[225, 512]> input = ?","Tensor<[512, 12]> mat2 = ?"
74,"Tensor<[64, 1536]> input = ?","Tensor<[1536, 768]> mat2 = ?"
75,"Tensor<[225, 512]> input = ?","Tensor<[512, 24]> mat2 = ?"
76,"Tensor<[10, 768]> input = ?","Tensor<[768, 768]> mat2 = ?"
77,"Tensor<[10, 768]> input = ?","Tensor<[768, 3072]> mat2 = ?"
78,"Tensor<[10, 3072]> input = ?","Tensor<[3072, 768]> mat2 = ?"
79,"Tensor<[1, 768]> input = ?","Tensor<[768, 3072]> mat2 = ?"
80,"Tensor<[1, 3072]> input = ?","Tensor<[3072, 768]> mat2 = ?"
81,"Tensor<[1, 768]> input = ?","Tensor<[768, 32128]> mat2 = ?"
82,"Tensor<[10, 1024]> input = ?","Tensor<[1024, 1024]> mat2 = ?"
83,"Tensor<[10, 1024]> input = ?","Tensor<[1024, 4096]> mat2 = ?"
84,"Tensor<[10, 4096]> input = ?","Tensor<[4096, 1024]> mat2 = ?"
85,"Tensor<[1, 1024]> input = ?","Tensor<[1024, 4096]> mat2 = ?"
86,"Tensor<[1, 4096]> input = ?","Tensor<[4096, 1024]> mat2 = ?"
87,"Tensor<[1, 1024]> input = ?","Tensor<[1024, 32128]> mat2 = ?"
88,"Tensor<[10, 512]> input = ?","Tensor<[512, 512]> mat2 = ?"
89,"Tensor<[10, 512]> input = ?","Tensor<[512, 2048]> mat2 = ?"
90,"Tensor<[10, 2048]> input = ?","Tensor<[2048, 512]> mat2 = ?"
91,"Tensor<[1, 512]> input = ?","Tensor<[512, 512]> mat2 = ?"
92,"Tensor<[1, 512]> input = ?","Tensor<[512, 2048]> mat2 = ?"
93,"Tensor<[1, 2048]> input = ?","Tensor<[2048, 512]> mat2 = ?"
